통계표,계정항목,단위,가중치,변환,2022/01,2022/02,2022/03,2022/04,2022/05,2022/06,2022/07,2022/08,2022/09,2022/10,2022/11,2022/12,2023/01,2023/02,2023/03,2023/04,2023/05,2023/06,2023/07,2023/08,2023/09,2023/10,2023/11,2023/12,2024/01,2024/02,2024/03,2024/04,2024/05,2024/06,2024/07,2024/08,2024/09,2024/10,2024/11,2024/12,2025/01,2025/02,2025/03,2025/04,2025/05,2025/06,2025/07,2025/08,2025/09,2025/10,2025/11,2025/12
"4.2.1. 소비자물가지수","        치과진료비","2020=100","6.1","원자료","103.39","103.39","103.39","103.39","103.39","103.39","103.39","103.39","103.39","103.39","103.39","103.39","106.02","106.02","106.02","106.02","106.02","106.02","106.02","106.02","106.02","106.02","106.02","106.02","109.43","109.43","109.43","109.43","109.43","109.43","109.43","109.43","109.43","109.43","109.43","109.43","112.96","112.96","112.96","112.96","112.96","112.96","112.96","112.96","112.96","112.96","112.96","112.96"
"4.2.1. 소비자물가지수","        치과보철료","2020=100","6.8","원자료","101.02","101.12","101.12","101.33","101.48","101.63","101.71","101.72","101.59","101.64","101.65","101.56","101.48","101.52","101.56","101.73","101.82","101.74","101.79","101.85","101.89","101.89","101.92","101.66","101.45","101.46","101.52","101.57","101.47","101.78","101.78","101.91","101.94","102.29","102.46","102.55","102.74","102.82","103.03","103.52","103.45","103.63","103.91","103.9","104.19","104.66","105.01","105.3"
"4.2.1. 소비자물가지수","    병원 서비스","2020=100","11.3","원자료","99.92","99.83","97.29","97.31","97.31","97.31","97.31","97.31","97.32","97.32","97.32","97.32","98.95","98.95","98.97","98.97","98.97","98.97","98.98","98.98","98.99","98.99","98.99","99","100.88","100.88","100.9","100.9","100.91","100.91","100.92","100.92","100.93","100.92","100.93","100.93","102.07","102.09","102.1","102.1","102.1","102.1","102.11","102.11","102.11","102.11","102.11","102.12"
"4.2.1. 소비자물가지수","      병원 서비스","2020=100","11.3","원자료","99.92","99.83","97.29","97.31","97.31","97.31","97.31","97.31","97.32","97.32","97.32","97.32","98.95","98.95","98.97","98.97","98.97","98.97","98.98","98.98","98.99","98.99","98.99","99","100.88","100.88","100.9","100.9","100.91","100.91","100.92","100.92","100.93","100.92","100.93","100.93","102.07","102.09","102.1","102.1","102.1","102.1","102.11","102.11","102.11","102.11","102.11","102.12"
"4.2.1. 소비자물가지수","        입원진료비","2020=100","10.2","원자료","103.03","103.03","103.03","103.03","103.03","103.03","103.03","103.03","103.03","103.03","103.03","103.03","104.78","104.78","104.78","104.78","104.78","104.78","104.78","104.78","104.78","104.78","104.78","104.78","106.75","106.75","106.75","106.75","106.75","106.75","106.75","106.75","106.75","106.75","106.75","106.75","107.97","107.97","107.97","107.97","107.97","107.97","107.97","107.97","107.97","107.97","107.97","107.97"
"4.2.1. 소비자물가지수","        병원검사료","2020=100","1.1","원자료","75.37","74.76","58.46","58.57","58.57","58.59","58.61","58.61","58.64","58.65","58.67","58.67","59.43","59.43","59.53","59.61","59.64","59.64","59.67","59.68","59.73","59.73","59.76","59.83","61.03","61.05","61.16","61.18","61.22","61.22","61.27","61.32","61.34","61.29","61.36","61.37","62.01","62.16","62.18","62.2","62.21","62.23","62.27","62.28","62.3","62.3","62.3","62.32"
"4.2.1. 소비자물가지수","  교통","2020=100","110.6","원자료","109.3","111.16","116.96","118.93","119.61","123.38","123.54","117.64","115.72","115.34","115.43","113.15","112.34","111.38","110.87","111.79","111.52","109.74","110.25","114.09","115.28","117.29","114.98","112.89","111.97","113.64","114","115.02","115.74","114.01","116","116.17","113.9","112.56","113.69","114.32","115.62","116.19","115.67","114.55","114.28","114.15","115.82","116.27","115.21","116.4","117.31","117.99"
"4.2.1. 소비자물가지수","    운송장비","2020=100","28.4","원자료","104.03","104.17","104.24","103.86","104.57","105.06","105.41","105.59","105.67","107","107.18","106.23","106.2","105.07","104.99","105.51","105.56","105.06","106.06","106.04","105.53","108.08","107.09","106.47","107.05","109.02","108.85","109.31","109.21","109.15","108.52","108.46","108.75","107.96","109.34","108.24","107.49","107.75","107.88","107.24","107.3","107.43","108.22","108.57","108.64","109.91","109.33","108.21"
"4.2.1. 소비자물가지수","      운송장비","2020=100","28.4","원자료","104.03","104.17","104.24","103.86","104.57","105.06","105.41","105.59","105.67","107","107.18","106.23","106.2","105.07","104.99","105.51","105.56","105.06","106.06","106.04","105.53","108.08","107.09","106.47","107.05","109.02","108.85","109.31","109.21","109.15","108.52","108.46","108.75","107.96","109.34","108.24","107.49","107.75","107.88","107.24","107.3","107.43","108.22","108.57","108.64","109.91","109.33","108.21"
"4.2.1. 소비자물가지수","        소형승용차","2020=100","1","원자료","101.02","101.02","102.23","102.23","102.23","102.23","102.23","102.23","102.37","102.37","102.37","102.37","102.37","102.37","102.99","102.99","103.34","103.34","104.11","104.13","104.13","104.13","104.13","104.13","104.13","104.13","104.13","104.13","104.13","104.13","105","105","105","105","105","105","103.41","103.41","103.41","103.41","104.85","104.85","104.85","104.85","104.85","104.85","104.85","104.85"
"4.2.1. 소비자물가지수","        중형승용차","2020=100","1","원자료","100.12","100.12","100.12","100.12","100.12","100.19","100.19","101.49","101.49","101.49","101.49","101.49","101.49","101.49","101.49","101.87","103.4","103.4","104.16","104.16","104.15","104.15","104.89","104.89","104.97","104.97","104.97","104.97","104.97","104.82","104.6","104.6","104.6","104.6","105.61","105.82","104.38","104.43","104.43","103.02","103.02","103.5","102.8","104.13","104.13","104.18","103.48","103.91"
